name,score
s,124503
ing,29560
ed,28923
ly,19077
e,11149
y,8921
ion,6930
ers,6288
er,4674
ness,4489
ies,4211
ist,3550
al,3532
able,2785
ic,2661
ism,2542
ity,2460
ce,2022
ors,1925
ation,1881
ment,1758
ive,1610
or,1606
ous,1527
cy,1326
t,1323
ility,1297
ian,1208
ized,1178
ize,939
izing,898
ship,857
ary,856
ised,784
ization,772
ities,657
ve,636
ton,635
ial,623
ia,613
ably,595
ate,528
ful,518
cies,512
ance,507
ily,503
less,473
tes,469
ability,450
zing,435
men,428
zed,423
ise,394
man,393
ville,389
ated,387
ant,386
ising,379
iness,372
isation,371
ible,368
ze,363
ence,351
i,343
shire,342
ating,324
land,295
ov,294
town,292
us,262
zation,251
son,249
esque,238
tions,229
ements,224
ative,213
aire,206
aries,198
osis,195
tely,186
hood,184
ese,182
ivity,178
ologists,165
tically,164
cs,161
ees,161
kers,160
izers,159
ology,158
ator,157
board,155
stone,153
tics,150
ologist,148
ham,145
alists,144
wood,141
ures,136
ure,134
ently,131
ening,126
sburg,123
dt,118
house,118
ption,118
bank,115
izer,115
sen,114
eering,113
age,112
sky,106
weight,104
ward,103
grad,102
th,102
istan,102
bes,101
market,101
fold,100
ionally,99
ened,99
iya,98
gton,96
eurs,95
phic,95
ced,92
cing,91
eur,90
itis,90
dale,89
ova,89
ped,87
tech,85
vision,84
systems,83
watch,82
ency,80
ctic,80
care,79
head,79
life,79
igh,78
ilities,78
sport,77
ugh,77
m,76
side,76
field,75
isition,75
ires,74
ways,73
ium,73
woman,72
long,71
ual,70
owicz,70
phy,69
orships,69
iou,68
maker,68
year,67
ean,67
owski,67
sis,66
some,66
proof,65
ured,64
iring,64
ums,63
ping,62
ista,62
yev,62
ern,62
bird,61
phone,61
um,59
istically,58
phs,57
rth,57
sions,57
botham,56
sensitive,56
alify,56
iastic,56
channel,55
computers,55
works,55
alizes,55
ococcal,55
processing,54
isers,54
smith,53
ired,53
zable,53
state,52
uses,52
iev,52
arians,52
ogenic,52
cessing,51
ew,50
scopic,50
amic,49
hawk,49
vity,49
skaya,49
port,48
stein,48
taking,48
tek,48
etic,48
cized,48
burg,47
source,47
time,47
wear,47
wide,47
lative,46
lment,46
lization,46
omics,46
igated,46
book,45
foot,45
group,45
seed,45
iser,45
orates,45
boro,44
ledge,44
post,44
view,44
aya,43
craft,43
lake,43
arian,43
tious,43
stad,43
bury,42
marks,42
ople,42
power,42
rms,42
oid,42
otti,42
america,41
bed,41
fall,41
making,41
downs,40
trust,40
work,40
ibility,40
aint,40
nburg,40
tially,40
fest,39
inal,39
rk,39
nians,39
polis,39
rket,39
nology,39
adenosine,38
bound,38
extended,38
play,38
quakes,38
uate,38
ified,38
isitive,38
iet,38
sdrop,38
iastically,38
ivocal,38
copoulos,38
oethylene,38
idene,38
neftegaz,38
drive,37
led,37
mann,37
point,37
processor,37
quake,37
rics,37
dyne,37
isitor,37
andr,37
zers,37
vores,37
inarian,37
inarians,37
alification,37
duals,37
ioed,37
agency,36
blocks,36
bottom,36
boy,36
garden,36
john,36
scope,36
sk,36
tower,36
werke,36
ette,36
ropriate,36
tific,36
ykh,36
eutic,36
iciencies,36
iencies,36
iciently,36
anites,36
ococcus,36
isites,36
balanced,35
box,35
computer,35
saver,35
vax,35
world,35
rtered,35
lisers,35
tiana,35
ticize,35
anite,35
tatives,35
charges,34
class,34
glen,34
heated,34
party,34
price,34
service,34
